latitude,longitude,region
58.06403,107.11819,Irkutsk Oblast
57.94974,107.14474,Irkutsk Oblast
57.98042,107.15172,Irkutsk Oblast
57.97954,107.15405,Irkutsk Oblast
57.94862,107.15419,Irkutsk Oblast
57.94769,107.15633,Irkutsk Oblast
58.40827,107.26195,Irkutsk Oblast
58.40802,107.26462,Irkutsk Oblast
58.42975,107.36804,Irkutsk Oblast
58.42673,107.36923,Irkutsk Oblast
58.42933,107.37551,Irkutsk Oblast
58.4203,107.38285,Irkutsk Oblast
58.41785,107.38289,Irkutsk Oblast
58.42026,107.38335,Irkutsk Oblast
58.42474,107.44477,Irkutsk Oblast
58.42371,107.44818,Irkutsk Oblast
58.42788,107.57043,Irkutsk Oblast
58.42412,107.57408,Irkutsk Oblast
58.42908,107.5748,Irkutsk Oblast
58.42743,107.57545,Irkutsk Oblast
58.42219,107.57584,Irkutsk Oblast
58.42731,107.57598,Irkutsk Oblast
58.42976,107.5767,Irkutsk Oblast
58.42308,107.58045,Irkutsk Oblast
58.42627,107.58236,Irkutsk Oblast
58.42388,107.58378,Irkutsk Oblast
58.42618,107.58498,Irkutsk Oblast
58.44949,107.59072,Irkutsk Oblast
58.4483,107.59602,Irkutsk Oblast
58.4515,107.59793,Irkutsk Oblast
58.4527,107.60136,Irkutsk Oblast
58.44993,107.60224,Irkutsk Oblast
58.44725,107.60241,Irkutsk Oblast
58.45044,107.6043,Irkutsk Oblast
58.44904,107.60987,Irkutsk Oblast
58.43036,107.6623,Irkutsk Oblast
58.43307,107.6664,Irkutsk Oblast
58.40733,107.75147,Irkutsk Oblast
58.40792,107.7558,Irkutsk Oblast
58.40394,107.75834,Irkutsk Oblast
59.46473,108.07041,Irkutsk Oblast
59.46443,108.07467,Irkutsk Oblast
59.46783,108.07665,Irkutsk Oblast
59.6421,108.1108,Irkutsk Oblast
59.63531,108.11118,Irkutsk Oblast
59.64001,108.11825,Irkutsk Oblast
59.63666,108.11926,Irkutsk Oblast
59.6392,108.11948,Irkutsk Oblast
59.6425,108.12236,Irkutsk Oblast
59.63574,108.12341,Irkutsk Oblast
59.6369,108.12562,Irkutsk Oblast
59.63814,108.12605,Irkutsk Oblast
59.6785,108.2758,Irkutsk Oblast
59.68011,108.27641,Irkutsk Oblast
61.34265,112.80053,Sakha Respublika
61.34851,112.80057,Sakha Respublika
61.34541,112.80468,Sakha Respublika
61.34269,112.80904,Sakha Respublika
61.34854,112.80907,Sakha Respublika
61.53968,113.16187,Sakha Respublika
61.54315,113.16605,Sakha Respublika
61.54027,113.16748,Sakha Respublika
61.54183,113.16817,Sakha Respublika
62.78794,113.52022,Sakha Respublika
62.44664,113.65965,Sakha Respublika
62.44545,113.66046,Sakha Respublika
62.49774,113.90202,Sakha Respublika
62.49912,113.90216,Sakha Respublika
62.49932,113.90675,Sakha Respublika
62.15742,117.63814,Sakha Respublika
61.39594,135.20862,Sakha Respublika
61.33644,135.31261,Sakha Respublika
61.33528,135.31952,Sakha Respublika
63.56121,136.25806,Sakha Respublika
63.56223,136.26924,Sakha Respublika
63.57164,136.28703,Sakha Respublika
67.60663,153.38152,Sakha Respublika
67.60559,153.39435,Sakha Respublika
67.783,153.67146,Sakha Respublika
68.73553,154.47212,Sakha Respublika
68.73936,154.47456,Sakha Respublika
68.74046,154.57881,Sakha Respublika
